Date,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
8/4/20,Alabama,US,8/5/20 4:34,32.3182,-86.9023,93702,1666,35401,56635,1,1911.043536,722301,11100,1.777976991,84000001,USA,14731.26141,11.84606519
8/4/20,Alaska,US,8/5/20 4:34,61.3707,-152.4044,3394,25,987,2382,2,463.9495861,252649,,0.736593989,84000002,USA,34536.35798,
8/4/20,Arizona,US,8/5/20 4:34,33.7298,-111.4312,180505,3845,23944,152716,4,2479.901334,971244,13294,2.130134899,84000004,USA,13343.61537,7.364892939
8/4/20,Virginia,US,8/5/20 4:34,37.7693,-78.17,94251,2244,12385,79622,51,1104.221079,1168038,13640,2.380876595,84000051,USA,13684.44028,14.47199499
8/4/20,Washington,US,8/5/20 4:34,47.4009,-121.4905,59379,1619,,57760,53,779.7745812,1008822,5744,2.726553159,84000053,USA,13248.01281,9.673453578
8/4/20,West Virginia,US,8/5/20 4:34,38.4912,-80.9545,7059,124,5063,1872,54,393.8850998,298439,,1.756622751,84000054,USA,16652.59602,
8/4/20,Wisconsin,US,8/5/20 4:34,44.2685,-89.6165,56056,961,45368,9727,55,962.7588737,989016,4783,1.714357071,84000055,USA,16986.29817,8.53253889
8/4/20,Wyoming,US,8/5/20 4:34,42.756,-107.3025,2884,27,2284,573,56,498.3075857,55243,169,0.936199723,84000056,USA,9545.078349,5.859916782
8/5/20,Alabama,US,8/6/20 4:35,32.3182,-86.9023,94654,1695,37923,55036,1,1930.459487,727460,11100,1.790732563,84000001,USA,14836.47874,11.72692121
8/5/20,Alaska,US,8/6/20 4:35,61.3707,-152.4044,3448,25,1017,2406,2,471.3312236,257279,,0.725058005,84000002,USA,35169.26505,
8/5/20,Arizona,US,8/6/20 4:35,33.7298,-111.4312,182203,3932,24222,154049,4,2503.229621,985542,13559,2.158032524,84000004,USA,13540.05108,7.441699643
8/5/20,Virginia,US,8/6/20 4:35,37.7693,-78.17,95049,2274,12522,80253,51,1113.570247,1179756,13826,2.39245021,84000051,USA,13821.72543,14.54618144
8/5/20,Washington,US,8/6/20 4:35,47.4009,-121.4905,60084,1624,,58460,53,789.0327546,1009486,5779,2.702882631,84000053,USA,13256.73256,9.618201185
8/5/20,West Virginia,US,8/6/20 4:35,38.4912,-80.9545,7162,124,5218,1820,54,399.6323962,302594,,1.731359955,84000054,USA,16884.44084,
8/5/20,Wisconsin,US,8/6/20 4:35,44.2685,-89.6165,56940,970,46323,9647,55,977.9415275,1006094,4826,1.703547594,84000055,USA,17279.61193,8.475588339
8/5/20,Wyoming,US,8/6/20 4:35,42.756,-107.3025,2923,27,2323,573,56,505.0461418,55714,169,0.923708519,84000056,USA,9626.459373,5.781731098
